state,condition,year,current_cost,lower_bound,upper_bound
CA,asthma,2018,64818.69482797645,52517.53679782361,77119.85285812929
CA,chronic_kidney,2018,70589.11320587683,58280.25534767074,82897.97106408291
CA,pulmonary,2018,64555.27600695597,52247.000696288815,76863.55131762313
CA,depression,2018,63496.30652332579,51197.66715912246,75794.94588752912
CA,diabetes,2018,68288.32348031472,56000.88085973832,80575.76610089112
CA,hyperlip,2018,100125.39044086947,87822.41196047906,112428.36892125987
CA,hypertension,2018,58960.02913338695,46637.5956626891,71282.46260408481
CA,ischemia,2018,174755.4446181319,162401.8913319289,187108.99790433492
CA,arthritis,2018,63950.69733652024,51642.900910152704,76258.49376288778
CA,psychotic,2018,79470.48172213127,67172.50707112397,91768.45637313857
CA,stroke,2018,135358.29605997232,123035.82142872574,147680.7706912189
CO,atrial_fib,2018,51057.9973391835,39262.6055297412,62853.3891486258
CO,asthma,2018,35786.71056410055,23985.121549053038,47588.29957914806
CO,chronic_kidney,2018,48148.05622316578,36343.97483435307,59952.1376119785
CO,pulmonary,2018,42202.038450889784,30401.17708262675,54002.89981915282
CO,depression,2018,42939.46472869479,31137.79637679069,54741.133080598884
CO,diabetes,2018,44796.38051995427,33000.73878180324,56592.0222581053
CO,hyperlip,2018,63226.32130806146,51423.24433877498,75029.39827734794
CO,hypertension,2018,41840.75369895142,30030.215296301263,53651.292101601575
CO,ischemia,2018,138770.11571017624,126877.82646412146,150662.404956231
CO,arthritis,2018,35089.20569311237,23266.103129066658,46912.30825715809
CO,psychotic,2018,44245.65967574638,32442.17528366278,56049.14406782998
CO,stroke,2018,100755.45618431961,88898.51959141655,112612.39277722267
CT,atrial_fib,2018,34256.71444272879,22486.062832197713,46027.36605325987
CT,asthma,2018,23483.947154460566,11706.727196313603,35261.16711260753
CT,chronic_kidney,2018,27457.94273292494,15681.978072426615,39233.907393423266
CT,pulmonary,2018,24188.25443325165,12412.47959145721,35964.029275046094
CT,depression,2018,28317.733103214716,16542.845497002498,40092.620709426934
CT,diabetes,2018,26305.519990614746,14537.806921742047,38073.233059487444
CT,hyperlip,2018,34547.686274564556,22763.53100571956,46331.84154340955
CT,hypertension,2018,30979.41315072261,19193.578265935903,42765.248035509314
CT,ischemia,2018,72340.58231907315,60557.166846213746,84123.99779193255
CT,arthritis,2018,24430.40680898349,12626.9847077828,36233.82891018418
CT,psychotic,2018,37003.968397863464,25221.128830932637,48786.807964794294
CT,stroke,2018,67322.25179629654,55517.76044143293,79126.74315116013
DE,atrial_fib,2018,37175.68692276499,25422.19643849398,48929.177407036
DE,asthma,2018,20687.491832365875,8925.95570749967,32449.02795723208
DE,chronic_kidney,2018,27538.078342797544,15781.352321283279,39294.80436431181
DE,pulmonary,2018,23146.00657865489,11391.413569127684,34900.5995881821
DE,depression,2018,29355.12209391681,17599.250569886655,41110.993617946966
DE,diabetes,2018,24446.84167609631,12696.851138219188,36196.83221397343
DE,hyperlip,2018,30570.310216237547,18798.247526895022,42342.37290558007
DE,hypertension,2018,20938.864549125046,9175.170073309959,32702.559024940136
DE,ischemia,2018,90987.78518946133,79231.76481145868,102743.80556746398
DE,arthritis,2018,26877.61123814484,15089.087359432231,38666.13511685745
DE,psychotic,2018,23276.743321901366,11510.863315685372,35042.62332811736
DE,stroke,2018,64560.24288723926,52769.22516570055,76351.26060877799
FL,atrial_fib,2018,63146.87920422394,50980.61817141144,75313.14023703644
FL,asthma,2018,41048.271906856666,28884.283678064636,53212.2601356487
FL,chronic_kidney,2018,50566.70697030229,38402.94092049471,62730.47302010988
FL,pulmonary,2018,43339.15104809702,31167.5715523146,55510.730543879436
FL,depression,2018,40368.27045088605,28208.488113907322,52528.05278786477
FL,diabetes,2018,44200.71777164238,32042.78560498899,56358.64993829578
FL,hyperlip,2018,76939.93466736708,64773.366945979935,89106.50238875423
FL,hypertension,2018,38520.660874588175,26344.474218808347,50696.847530368
FL,ischemia,2018,132833.1229390001,120639.10597986457,145027.13989813565
FL,arthritis,2018,35341.92330901773,23155.86359603862,47527.98302199684
FL,psychotic,2018,54894.61478208737,42735.11540581327,67054.11415836147
FL,stroke,2018,99507.91624904187,87320.21821781533,111695.6142802684
GA,atrial_fib,2018,38573.35115501914,26752.51779278784,50394.18451725044
GA,asthma,2018,25591.912668899273,13768.277295152442,37415.5480426461
GA,chronic_kidney,2018,34146.424977981216,22324.95771183687,45967.89224412556
GA,pulmonary,2018,29123.989262853964,17301.51742089253,40946.4611048154
GA,depression,2018,26884.702891676327,15068.480653958199,38700.925129394454
GA,diabetes,2018,33231.8014528328,21415.27689177289,45048.32601389271
GA,hyperlip,2018,50652.79220255355,38833.80564538069,62471.77875972641
GA,hypertension,2018,28877.4808243723,17052.204094196026,40702.757554548574
GA,ischemia,2018,105180.44426839422,93342.06602123105,117018.82251555739
GA,arthritis,2018,21037.12153840832,9200.049160439808,32874.193916376826
GA,psychotic,2018,34541.18691264551,22718.328168130836,46364.04565716019
GA,stroke,2018,77255.28512640193,65408.429492795556,89102.1407600083
HI,atrial_fib,2018,35363.07695637853,23561.571522302045,47164.58239045501
HI,asthma,2018,35318.04206119619,23507.29344727745,47128.79067511493
HI,chronic_kidney,2018,34743.75020601364,22940.04219135546,46547.45822067182
HI,pulmonary,2018,34947.30941494375,23145.324953453382,46749.29387643412
HI,depression,2018,17459.60000319776,5658.433933229344,29260.766073166174
HI,diabetes,2018,30104.831334701048,18310.978253421257,41898.68441598084
HI,ischemia,2018,90407.73854086251,78609.25573973864,102206.22134198638
HI,stroke,2018,44992.45373612207,33126.55937039356,56858.348101850584
IA,atrial_fib,2018,35682.01309819762,23927.813957551254,47436.21223884398
IA,asthma,2018,24729.920775862014,12970.71338275223,36489.1281689718
IA,chronic_kidney,2018,32637.080256781042,20880.817889243157,44393.34262431893
IA,pulmonary,2018,23876.352523734742,12123.546924469862,35629.15812299962
IA,depression,2018,20989.4339317191,9236.491977048972,32742.37588638923
IA,diabetes,2018,25888.953979945683,14138.925709971585,37638.98224991978
IA,hyperlip,2018,47935.1462629631,36177.33438208754,59692.95814383866
IA,hypertension,2018,25245.28351990508,13484.804256737549,37005.76278307261
IA,ischemia,2018,82963.78525622087,71205.1053855268,94722.46512691495
IA,arthritis,2018,19989.648959784965,8211.101981278829,31768.1959382911
IA,psychotic,2018,37044.90338630624,25281.446610637628,48808.36016197486
ID,atrial_fib,2018,40756.5548806034,29008.03947847215,52505.07028273465
ID,asthma,2018,21454.947653473067,9701.001526354456,33208.89378059168
ID,chronic_kidney,2018,27656.342751686447,15905.784043166732,39406.901460206165
ID,pulmonary,2018,26344.53016697828,14596.267900478624,38092.79243347793
ID,depression,2018,25543.9448317965,13796.492882449069,37291.39678114393
ID,diabetes,2018,29981.754965451146,18237.709925478994,41725.8000054233
ID,hyperlip,2018,38936.38158352471,27180.673734860342,50692.089432189074
ID,ischemia,2018,93337.14431154386,81585.94106223636,105088.34756085135
ID,stroke,2018,58878.3063487775,47091.64957865864,70664.96311889635
IL,atrial_fib,2018,42422.91317536231,30631.49604692576,54214.33030379885
IL,asthma,2018,31359.81183435012,19565.397832649272,43154.225836050966
IL,chronic_kidney,2018,39121.28155421476,27326.773422662056,50915.789685767464
IL,pulmonary,2018,32622.4988932912,20829.042287338612,44415.955499243784
IL,depression,2018,28366.673358048345,16578.92956860392,40154.41714749277
IL,diabetes,2018,34522.496088777516,22736.06855434252,46308.92362321251
IL,hyperlip,2018,56835.68862983616,45042.11704981781,68629.2602098545
IL,hypertension,2018,28471.91042856413,16677.71288185485,40266.10797527341
IL,ischemia,2018,107706.60430088064,95897.380520882,119515.82808087929
IL,arthritis,2018,26494.38111250367,14686.83374523205,38301.92847977529
IL,psychotic,2018,36335.17590841455,24541.011713456486,48129.34010337262
IL,stroke,2018,76962.28294065064,65147.76192111305,88776.80396018822
IN,atrial_fib,2018,38786.39171055225,27003.68630936539,50569.09711173911
IN,asthma,2018,25564.558359192448,13777.900895803488,37351.215822581406
IN,chronic_kidney,2018,35858.587488663215,24073.682814441876,47643.492162884555
IN,pulmonary,2018,27565.590131703506,15783.405333043986,39347.774930363026
IN,depression,2018,24683.20491115773,12900.395054810386,36466.01476750507
IN,diabetes,2018,30121.24983426967,18341.98676938903,41900.512899150315
IN,hyperlip,2018,63874.08532985473,52077.10515702977,75671.06550267969
IN,hypertension,2018,28973.58202638357,17187.515199747446,40759.648853019695
IN,ischemia,2018,107714.55299116402,95907.81343358044,119521.2925487476
IN,arthritis,2018,19048.69201697335,7249.178996913288,30848.20503703341
IN,psychotic,2018,32787.717618286806,20999.88490025366,44575.55033631995
IN,stroke,2018,73094.47841687503,61287.14425823212,84901.81257551795
KS,atrial_fib,2018,40551.0789514345,28802.63259466263,52299.52530820637
KS,asthma,2018,31628.044387541126,19870.908050849524,43385.18072423273
KS,chronic_kidney,2018,37884.55194408099,26131.22296918415,49637.880918977826
KS,pulmonary,2018,34157.57894930238,22405.859118049706,45909.29878055505
KS,depression,2018,32441.450855880637,20689.382143436946,44193.51956832433
KS,diabetes,2018,31526.403765657218,19780.46804796961,43272.339483344826
KS,hyperlip,2018,75829.86373632758,64040.11357765552,87619.61389499964
KS,hypertension,2018,31075.76660609685,19316.957603882656,42834.57560831105
KS,ischemia,2018,104614.06742885573,92848.90177785019,116379.23307986128
KS,arthritis,2018,21725.80363333498,9949.499247951548,33502.10801871841
KS,psychotic,2018,42595.777493410395,30833.303111945388,54358.2518748754
KS,stroke,2018,78769.23910751652,66983.0852650487,90555.39294998434
KY,atrial_fib,2018,43884.81281897833,32121.571234974246,55648.054402982416
KY,asthma,2018,22221.88685406577,10457.086994995341,33986.6867131362
KY,chronic_kidney,2018,29643.822372371364,17882.077064542747,41405.56768019998
KY,pulmonary,2018,25240.26847054957,13479.801171882193,37000.735769216946
KY,depression,2018,18884.671792068148,7122.622958180678,30646.72062595562
KY,diabetes,2018,26729.432256329535,14973.26591283329,38485.59859982578
KY,hyperlip,2018,46752.13660907246,34988.739841291805,58515.53337685312
KY,hypertension,2018,24294.71054634804,12529.5772569134,36059.84383578268
KY,ischemia,2018,97635.7691531666,85865.7363905858,109405.80191574742
KY,arthritis,2018,30881.945659564954,19097.675154469813,42666.216164660094
KY,psychotic,2018,30068.866867947676,18302.472496776696,41835.261239118656
KY,stroke,2018,110495.22613614664,98619.75030066146,122370.70197163182
LA,atrial_fib,2018,32226.68866072856,20447.038981738777,44006.33833971834
LA,asthma,2018,24355.47739184616,12568.576824423451,36142.37795926887
LA,chronic_kidney,2018,33398.12475496255,21613.257048450647,45182.99246147445
LA,pulmonary,2018,26779.653877101024,14994.97153354992,38564.33622065213
LA,depression,2018,20153.469899137017,8374.97923533601,31931.960562938024
LA,diabetes,2018,27321.018569669563,15545.181327356224,39096.8558119829
LA,hyperlip,2018,41750.128351950836,29969.285958387572,53530.9707455141
LA,hypertension,2018,23442.6028062085,11654.366235514028,35230.83937690297
LA,ischemia,2018,101155.48984069293,89358.22872436709,112952.75095701877
LA,arthritis,2018,20665.929325413643,8856.4593122392,32475.399338588086
LA,psychotic,2018,28219.011834425757,16432.272040537733,40005.75162831378
LA,stroke,2018,76309.21094009359,64487.334178422345,88131.08770176483
MA,atrial_fib,2018,41753.51140307278,29866.671303564348,53640.35150258121
MA,asthma,2018,26060.801334631193,14164.03363271652,37957.569036545865
MA,chronic_kidney,2018,38801.6613857929,26911.29810418065,50692.024667405145
MA,pulmonary,2018,25263.94979554538,13365.369358671727,37162.530232419034
MA,depression,2018,30468.873960564182,18577.785422460773,42359.96249866759
MA,diabetes,2018,33591.75401328389,21708.691136575417,45474.81688999236
MA,hyperlip,2018,51556.09141470189,39657.86347251101,63454.319356892775
MA,hypertension,2018,27783.320688363387,15884.811122028008,39681.83025469877
MA,ischemia,2018,91215.88931410243,79320.84876555292,103110.92986265194
MA,arthritis,2018,27256.037634646495,15342.471644138854,39169.60362515414
MA,psychotic,2018,40074.27510556201,28183.633848036003,51964.91636308802
MA,stroke,2018,87160.52620299406,75249.9677839748,99071.08462201332
MD,atrial_fib,2018,17837.782962243593,5993.901847238105,29681.66407724908
MD,asthma,2018,11469.289702618385,-372.7895689067336,23311.368974143505
MD,chronic_kidney,2018,15825.467422592901,3982.298464851041,27668.636380334763
MD,pulmonary,2018,11577.481164789653,-264.4468331378648,23419.409162717173
MD,depression,2018,10896.944553223368,-936.0982212350227,22729.98732768176
MD,diabetes,2018,13020.40996917716,1187.49865597178,24853.32128238254
MD,hyperlip,2018,17822.468320854965,5957.860582923224,29687.076058786704
MD,hypertension,2018,12528.386643037034,687.8713136879614,24368.901972386106
MD,ischemia,2018,37323.24653512858,25393.90938802943,49252.58368222773
MD,arthritis,2018,10819.290599060947,-1041.05285328659,22679.634051408484
MD,psychotic,2018,18446.195862963043,6602.864732627153,30289.526993298932
MD,stroke,2018,31479.553999494638,19574.45048568674,43384.65751330253
ME,atrial_fib,2018,26324.133342214915,14564.86035415769,38083.40633027214
ME,asthma,2018,14247.665756016622,2484.330718788684,26011.00079324456
ME,chronic_kidney,2018,21954.419574900054,10195.333704493125,33713.50544530698
ME,pulmonary,2018,19012.053313084685,7255.95013578691,30768.156490382462
ME,depression,2018,27902.455267765272,16145.013802931824,39659.89673259872
ME,diabetes,2018,21682.06573376146,9931.030892882934,33433.10057463999
ME,hyperlip,2018,31332.145783446587,19563.614385956513,43100.67718093666
ME,hypertension,2018,18076.850943195033,6312.475347760179,29841.22653862989
ME,ischemia,2018,69058.73563729157,57290.61236075826,80826.85891382488
ME,psychotic,2018,23243.88698184343,11478.214799314132,35009.559164372724
MI,atrial_fib,2018,34537.807174495494,22737.057477137005,46338.55687185399
MI,asthma,2018,21064.953023575716,9260.075663273934,32869.830383877495
MI,chronic_kidney,2018,25634.875152654215,13831.733405866695,37438.01689944173
MI,pulmonary,2018,21799.038153930287,9993.101566041567,33604.97474181901
MI,depression,2018,23121.17922467842,11320.949621468164,34921.40882788868
MI,diabetes,2018,23015.40653682783,11220.893163443367,34809.919910212295
MI,hyperlip,2018,37609.862706755506,25806.02352940022,49413.70188411079
MI,hypertension,2018,22358.658697060047,10553.066423863234,34164.250970256864
MI,ischemia,2018,75798.86546319358,63992.48967869371,87605.24124769344
MI,arthritis,2018,22193.053967569114,10369.201047616792,34016.906887521436
MI,psychotic,2018,23493.923244284037,11688.90936830103,35298.937120267045
MI,stroke,2018,57135.23101879624,45305.68041866925,68964.78161892323
MN,atrial_fib,2018,38730.87755812698,26862.36756145474,50599.38755479922
MN,asthma,2018,20742.019346532557,8878.605984857337,32605.43270820778
MN,chronic_kidney,2018,23636.70299582475,11772.409861087075,35500.99613056243
MN,pulmonary,2018,21068.2362346034,9200.084693299907,32936.38777590689
MN,depression,2018,24978.662034635945,13114.323572290783,36843.000496981105
MN,diabetes,2018,25649.10528682923,13792.388807831336,37505.82176582713
MN,hyperlip,2018,33172.231989790474,21311.82751021922,45032.63646936173
MN,hypertension,2018,20788.290801781382,8917.040865188163,32659.540738374602
MN,ischemia,2018,88745.01995177404,76880.76465364988,100609.2752498982
MN,arthritis,2018,16557.97328320729,4673.422862047613,28442.52370436697
MN,psychotic,2018,36140.52372184286,24265.790807441794,48015.256636243925
MN,stroke,2018,54609.0067060635,42716.85101099461,66501.16240113239
MO,atrial_fib,2018,37611.909568518924,25851.27691250656,49372.54222453129
MO,asthma,2018,25107.77291077391,13343.013188184063,36872.53263336376
MO,chronic_kidney,2018,34445.50400211063,22684.655034354993,46206.352969866275
MO,pulmonary,2018,27294.060052197612,15534.989667579392,39053.13043681583
MO,depression,2018,20192.0252852358,8431.110253647079,31952.94031682452
MO,diabetes,2018,29700.938648949617,17944.940527889834,41456.9367700094
MO,hyperlip,2018,46762.6123931822,34999.825512793235,58525.399273571165
MO,hypertension,2018,30177.542689314865,18411.37923846043,41943.7061401693
MO,ischemia,2018,95037.97912539016,83271.64624683905,106804.31200394128
MO,arthritis,2018,23142.194814261995,11361.900575235348,34922.48905328864
MO,psychotic,2018,36214.6525815005,24448.2781974849,47981.0269655161
MO,stroke,2018,64103.76087277437,52313.106703659214,75894.41504188953
MS,atrial_fib,2018,32245.791197361883,20487.529827742997,44004.05256698077
MS,asthma,2018,19580.354839425694,7816.75000899045,31343.95966986094
MS,chronic_kidney,2018,30953.858126073534,19193.68520744015,42714.03104470692
MS,pulmonary,2018,28072.38144209197,16311.830854799591,39832.93202938435
MS,depression,2018,15559.997648853952,3802.188102060665,27317.80719564724
MS,diabetes,2018,25145.25731420042,13391.59685092018,36898.91777748066
MS,hyperlip,2018,35569.173959857755,23805.728167821042,47332.61975189447
MS,hypertension,2018,24308.27416100451,12542.599136138706,36073.94918587031
MS,ischemia,2018,96288.1496801618,84519.55538014759,108056.74398017602
MS,arthritis,2018,14604.82537826341,2819.774395749935,26389.876360776885
MS,psychotic,2018,21842.996291791373,10076.334130771349,33609.658452811396
MS,stroke,2018,69420.22143334335,57627.37339851502,81213.06946817169
MT,atrial_fib,2018,22820.89265522245,11062.28150507504,34579.503805369866
MT,chronic_kidney,2018,20164.676138846135,8407.452969725164,31921.899307967105
MT,pulmonary,2018,21211.13601049512,9459.885760307354,32962.386260682884
MT,depression,2018,13385.609405077315,1632.1285418149946,25139.090268339634
MT,diabetes,2018,21663.122085038514,9916.256278619514,33409.98789145752
MT,hyperlip,2018,32091.19357015432,20326.318199218942,43856.068941089696
MT,ischemia,2018,91263.60465654731,79511.46428411793,103015.74502897669
MT,psychotic,2018,19130.461705140773,7365.082827514558,30895.84058276699
NC,atrial_fib,2018,42019.18284400596,30155.94760481482,53882.4180831971
NC,asthma,2018,22627.80945417215,10757.109950623872,34498.508957720434
NC,chronic_kidney,2018,33723.31702911429,21858.67665126451,45587.957406964066
NC,pulmonary,2018,23296.23730588266,11428.628195455454,35163.84641630987
NC,depression,2018,25554.307787484737,13692.905555624973,37415.7100193445
NC,diabetes,2018,24754.992353413472,12894.158023545535,36615.82668328141
NC,hyperlip,2018,51240.03125544847,39375.73333325297,63104.32917764397
NC,hypertension,2018,25594.79785871721,13731.05705082148,37458.53866661294
NC,ischemia,2018,87846.13931754802,75977.18200451882,99715.09663057722
NC,arthritis,2018,22113.75741870901,10236.25872055522,33991.2561168628
NC,psychotic,2018,33070.31136888975,21205.136136138193,44935.48660164131
NC,stroke,2018,63831.98193000959,51950.85205644264,75713.11180357654
ND,atrial_fib,2018,32805.413336024634,21054.233771355764,44556.592900693504
ND,asthma,2018,19806.913871390952,8048.72973799003,31565.098004791875
ND,chronic_kidney,2018,20124.686777074618,8367.237968819332,31882.135585329903
ND,pulmonary,2018,20081.884735251762,8329.706447584978,31834.063022918548
ND,depression,2018,22028.522510807787,10277.583408785158,33779.46161283042
ND,diabetes,2018,19072.665144454855,7323.886456223474,30821.443832686236
ND,hyperlip,2018,43922.46378257484,32165.906558925777,55679.021006223906
ND,hypertension,2018,17063.350326618634,5301.841031407008,28824.859621830263
ND,ischemia,2018,80534.96182553352,68781.58971285837,92288.33393820867
ND,arthritis,2018,14105.00851835249,2319.865520319996,25890.151516384984
NE,atrial_fib,2018,36715.11826428755,24967.87934437979,48462.35718419531
NE,asthma,2018,28153.320403940168,16398.520820201233,39908.11998767911
NE,chronic_kidney,2018,31681.928007657512,19931.217605119193,43432.63841019583
NE,pulmonary,2018,26371.60067252653,14623.643308930776,38119.55803612228
NE,depression,2018,20037.526242693286,8289.987213350021,31785.06527203655
NE,diabetes,2018,31130.379770110456,19385.74853162755,42875.01100859336
NE,hyperlip,2018,43116.2997481438,31362.76801586694,54869.83148042066
NE,hypertension,2018,21809.430746737242,10053.364639875685,33565.4968535988
NE,ischemia,2018,91900.44054167446,80149.17109836427,103651.70998498464
NE,arthritis,2018,18118.737648414957,6341.683280824136,29895.792016005777
NE,psychotic,2018,28647.018678364122,16890.18667154439,40403.850685183854
NH,atrial_fib,2018,32589.101198874338,20841.295165881962,44336.90723186672
NH,asthma,2018,18910.75824176588,7156.77117652247,30664.745307009292
NH,chronic_kidney,2018,30513.78711732632,18764.377601366803,42263.196633285836
NH,pulmonary,2018,22709.240257743877,10962.163686082884,34456.31682940487
NH,depression,2018,24491.180557673062,12744.39545442661,36237.965660919515
NH,diabetes,2018,24685.8811728718,12943.00096174447,36428.761383999125
NH,hyperlip,2018,51889.64421255253,40136.0262675994,63643.262157505655
NH,hypertension,2018,21077.169467533386,9321.43417328406,32832.90476178271
NH,ischemia,2018,86803.39874035033,75054.4640739697,98552.33340673095
NH,arthritis,2018,18243.049247675073,6466.65571359489,30019.442781755257
NH,psychotic,2018,38134.653048285036,26375.257550664675,49894.048545905396
NJ,atrial_fib,2018,73489.17643495116,61617.04674323189,85361.30612667043
NJ,asthma,2018,49711.202856339965,37846.22082181433,61576.1848908656
NJ,chronic_kidney,2018,63429.11711759416,51557.86427969832,75300.36995549001
NJ,pulmonary,2018,59136.446057111825,47267.85373298406,71005.03838123959
NJ,depression,2018,48307.37609323664,36450.55962111427,60164.192565359015
NJ,diabetes,2018,57955.949743823265,46095.77908332858,69816.12040431795
NJ,hyperlip,2018,50143.66314492961,38274.85911290456,62012.46717695466
NJ,hypertension,2018,45674.96150530289,33811.46711877655,57538.45589182923
NJ,ischemia,2018,113493.13892645613,101628.80314946505,125357.47470344721
NJ,arthritis,2018,41519.214792974635,29640.18122169306,53398.248364256215
NJ,psychotic,2018,76076.14912125868,64172.655863500564,87979.6423790168
NJ,stroke,2018,124460.85514446281,112503.88769461153,136417.8225943141
NM,atrial_fib,2018,37576.48507088922,25821.55039593933,49331.419745839106
NM,asthma,2018,22589.755229042887,10827.66842786608,34351.84203021969
NM,chronic_kidney,2018,28998.351540163192,17239.936207740568,40756.76687258582
NM,pulmonary,2018,35070.12128115886,23310.51895865446,46829.72360366327
NM,depression,2018,24236.508933146888,12480.34075610318,35992.6771101906
NM,diabetes,2018,31911.11925828387,20159.70300261918,43662.53551394856
NM,hyperlip,2018,84059.9435705655,72236.93275112455,95882.95439000646
NM,hypertension,2018,24003.3654234717,12237.664947896857,35769.065899046545
NM,ischemia,2018,107420.36035041277,95646.8953220876,119193.82537873794
NM,arthritis,2018,13826.291980466503,2034.8739580437432,25617.710002889264
NV,atrial_fib,2018,71478.88594684689,59668.241939604966,83289.52995408881
NV,asthma,2018,49676.461923066425,37881.65165235619,61471.27219377666
NV,chronic_kidney,2018,55614.47084268076,43826.30196512329,67402.63972023824
NV,pulmonary,2018,51081.20663828583,39294.03842531494,62868.374851256725
NV,depression,2018,50075.348800921885,38285.670559932725,61865.027041911046
NV,diabetes,2018,60547.031297631314,48743.33501556978,72350.72757969286
NV,hyperlip,2018,51793.40768772086,40027.38662376747,63559.42875167425
NV,hypertension,2018,46777.61012695065,34983.096191783116,58572.12406211818
NV,ischemia,2018,185097.56393739788,172902.89153746504,197292.23633733072
NV,arthritis,2018,46923.411065504944,35104.32495445781,58742.49717655208
NV,psychotic,2018,69144.05924359181,57311.134335776784,80976.98415140682
NV,stroke,2018,121239.39740988195,109317.6265395713,133161.1682801926
NY,atrial_fib,2018,57869.54545807017,45790.428690786284,69948.66222535406
NY,asthma,2018,36888.698127033014,24805.702538121805,48971.693715944224
NY,chronic_kidney,2018,46706.87646750598,34621.279628283766,58792.47330672819
NY,pulmonary,2018,37661.80810522956,25572.946772654614,49750.66943780451
NY,depression,2018,37044.711656240564,24967.06579263664,49122.35751984449
NY,diabetes,2018,42494.71638837936,30424.11657341043,54565.316203348295
NY,hyperlip,2018,52766.91379880072,40673.41699642093,64860.41060118051
NY,hypertension,2018,38623.07815045576,26532.82163732276,50713.33466358876
NY,ischemia,2018,101501.01626549105,89419.67228651358,113582.36024446852
NY,arthritis,2018,41684.5128941532,29584.482345411656,53784.54344289475
NY,psychotic,2018,51475.521717898024,39395.889097224404,63555.15433857164
NY,stroke,2018,108161.38067510704,96046.78632152433,120275.97502868975
OH,atrial_fib,2018,43023.492744929725,31192.181005040777,54854.80448481867
OH,asthma,2018,26135.44167315485,14296.775752777661,37974.10759353204
OH,chronic_kidney,2018,33588.62410773484,21753.632709481677,45423.615505988
OH,pulmonary,2018,28207.637463809147,16372.98845475868,40042.28647285962
OH,depression,2018,27004.663587842017,15175.038042014621,38834.289133669416
OH,diabetes,2018,30772.84158066276,18945.391011102045,42600.292150223475
OH,hyperlip,2018,60054.294729583715,48225.84229366332,71882.74716550412
OH,hypertension,2018,28418.77422711033,16582.147353339602,40255.40110088106
OH,ischemia,2018,104727.89332265097,92893.68608742987,116562.10055787207
OH,arthritis,2018,30533.22101762078,18686.35933422797,42380.08270101359
OH,psychotic,2018,31677.855712963737,19841.43411907505,43514.277306852426
OH,stroke,2018,77228.37540214433,65375.70098626486,89081.0498180238
OK,atrial_fib,2018,38947.221898485346,27191.111915320067,50703.33188165062
